Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total ('000),Share of workforce
1988,2321,Architects and Landscape Architects,1,2.2,12.28692526,0.001748051
1988,2253,Public Relations Professionals,1,18,5.975303468,0.000850102
1988,2339,Other Engineering Professionals,1,2.2,4.049342703,0.000576097
1988,2254,Technical Sales Representatives,1,21.7,14.21921202,0.002022956
1988,2323,"Fashion, Industrial and Jewellery Designers",1,3.1,2.354629718,0.000334991
1988,2311,Air Transport Professionals,1,25.5,8.202935503,0.001167025
1988,2633,Telecommunications Engineering Professionals,1,2.5,6.999555168,0.000995821
1988,2312,Marine Transport Professionals,1,20,11.48845272,0.001634453
1988,2324,"Graphic and Web Designers, and Illustrators",1,7.3,12.28484329,0.001747755
1988,2522,Complementary Health Therapists,1,2.5,1.69981463,0.000241831
1988,2326,Urban and Regional Planners,1,13,2.88351865,0.000410236
1988,2322,Surveyors and Spatial Scientists,1,48.7,7.438987428,0.001058339
1988,2631,Computer Network Professionals,1,3,7.324594283,0.001042064
1988,2621,"Database and Systems Administrators, and ICT Security Specialists",1,3,9.89606697,0.001407906
1988,2333,Electrical Engineers,1,10,12.1290002,0.001725583
1988,2325,Interior Designers,1,15.1,2.333416843,0.000331973
1988,2334,Electronics Engineers,1,12.9,4.862286428,0.000691754
1988,2713,Solicitors,1,3.5,20.84394161,0.002965451
1988,2336,Mining Engineers,1,12,3.483144578,0.000495544
1988,2711,Barristers,1,3.5,2.025196125,0.000288123
1988,2726,"Welfare, Recreation and Community Arts Workers",1,3.7,5.711122445,0.000812517
1988,2342,"Chemists, and Food and Wine Scientists",1,6.6,9.476881068,0.001348268
1988,2725,Social Workers,1,3.7,6.975789648,0.00099244
1988,2343,Environmental Scientists,1,8.6,6.005442395,0.00085439
1988,2347,Veterinarians,1,3.8,3.286919623,0.000467627
1988,2345,Life Scientists,1,4.3,4.35886461,0.000620132
1988,2411,Early Childhood (Pre-primary School) Teachers,1,5.1,9.989512908,0.0014212
1988,2721,Counsellors,1,5.2,4.902097595,0.000697418
1988,2344,"Geologists, Geophysicists and Hydrogeologists",1,53.2,5.172406583,0.000735874
1988,2412,Primary School Teachers,1,5.7,107.3891278,0.015278167
1988,2422,Vocational Education Teachers,1,5.3,27.7625069,0.00394975
1988,2346,Medical Laboratory Scientists,1,59.8,7.724831655,0.001099006
1988,2492,Private Tutors and Teachers,1,11.9,17.12209222,0.002435947
1988,2513,Occupational and Environmental Health Professionals,1,12,5.770308098,0.000820937
1988,2349,Other Natural and Physical Science Professionals,1,16.1,2.865930513,0.000407734
1988,2514,Optometrists and Orthoptists,1,14,1.997188643,0.000284138
1988,2712,Judicial and Other Legal Professionals,1,11.8,3.910541998,0.00055635
1988,2512,Medical Imaging Professionals,1,30.2,3.871810563,0.000550839
1988,2519,Other Health Diagnostic and Promotion Professionals,1,41.9,1.63558184,0.000232693
1988,2724,Social Professionals,1,24.6,2.707948353,0.000385258
1988,2613,Software and Applications Programmers,1,27.3,26.1173225,0.003715691
1988,3422,Electrical Distribution Trades Workers,3,7.3,11.59468516,0.001649567
1988,3911,Hairdressers,3,15.8,42.89710764,0.006102938
1988,3126,Safety Inspectors,2,21.1,3.140050048,0.000446732
1988,3411,Electricians,3,27.7,92.99708963,0.013230623
1988,3131,ICT Support Technicians,2,31,17.49346498,0.002488782
1988,3113,Primary Products Inspectors,2,33.7,2.482152093,0.000353134
1988,3933,Upholsterers,3,39,5.700788293,0.000811047
1988,3621,Florists,3,40,5.36633395,0.000763464
1988,3341,Plumbers,3,40.3,48.03675025,0.006834151
1988,3613,Veterinary Nurses,3,42.6,3.543628035,0.000504149
1988,3129,Other Building and Engineering Technicians,2,43.5,8.958841188,0.001274567
1988,3424,Telecommunications Trades Workers,3,44.8,35.82629682,0.005096979
1988,3121,"Architectural, Building and Surveying Technicians",2,45.3,33.10736512,0.004710159
1988,3999,Other Miscellaneous Technicians and Trades Workers,3,46.6,5.50247324,0.000782833
1988,3111,Agricultural Technicians,2,73.1,1.592196153,0.00022652
1988,3423,Electronics Trades Workers,3,47.9,20.65491684,0.002938559
1988,3112,Medical Technicians,2,61.7,7.272453533,0.001034646
1988,3995,Performing Arts Technicians,3,49.6,7.579397268,0.001078315
1988,3513,Chefs,2,52.2,21.51157157,0.003060434
1988,3114,Science Technicians,2,55,13.4540189,0.001914093
1988,3231,Aircraft Maintenance Engineers,3,52.4,7.055037433,0.001003715
1988,3122,Civil Engineering Draftspersons and Technicians,2,63,10.06553779,0.001432016
1988,3233,Precision Metal Trades Workers,3,55.8,9.888252718,0.001406794
1988,3123,Electrical Engineering Draftspersons and Technicians,2,77.3,7.670471975,0.001091272
1988,3125,Mechanical Engineering Draftspersons and Technicians,2,56.1,9.778787753,0.00139122
1988,3124,Electronic Engineering Draftspersons and Technicians,2,82.8,20.12015703,0.002862479
1988,3421,Airconditioning and Refrigeration Mechanics,3,56.3,12.60501547,0.001793306
1988,3211,Automotive Electricians,3,59.2,7.691231595,0.001094225
1988,3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",3,60.3,12.30449663,0.001750551
1988,3612,Shearers,3,61.8,10.25030481,0.001458303
1988,3132,Telecommunications Technical Specialists,2,73.2,8.037488653,0.001143487
1988,3232,Metal Fitters and Machinists,3,64.4,112.2163163,0.015964927
1988,3212,Motor Mechanics,3,65.1,94.21857164,0.013404402
1988,3221,"Metal Casting, Forging and Finishing Trades Workers",3,92.2,5.868104643,0.000834851
1988,3624,Nurserypersons,3,66,7.238155933,0.001029767
1988,3222,Sheetmetal Trades Workers,3,80.7,14.18885268,0.002018637
1988,3623,Greenkeepers,3,66,9.915412688,0.001410658
1988,3223,Structural Steel and Welding Trades Workers,3,83.2,64.37273985,0.009158259
1988,3622,Gardeners,3,66,31.10267356,0.004424953
1988,3242,Vehicle Body Builders and Trimmers,3,68.2,6.333892143,0.000901118
1988,3931,Canvas and Leather Goods Makers,3,69.9,6.196213853,0.00088153
1988,3312,Carpenters and Joiners,3,72,98.39518129,0.013998605
1988,3234,Toolmakers and Engineering Patternmakers,3,79,11.66841678,0.001660056
1988,3331,Glaziers,3,73,6.246527245,0.000888689
1988,3241,Panelbeaters,3,80.7,24.66323007,0.003508818
1988,3243,Vehicle Painters,3,79.6,10.84925978,0.001543516
1988,3611,Animal Attendants and Trainers,3,73.9,9.177402548,0.001305662
1988,3311,Bricklayers and Stonemasons,3,83.1,28.97759115,0.004122619
1988,3922,Graphic Pre-press Trades Workers,3,74.8,14.10024936,0.002006031
1988,3322,Painting Trades Workers,3,75.2,35.74969159,0.005086081
1988,3321,Floor Finishers,3,80.6,7.085960105,0.001008114
1988,3991,Boat Builders and Shipwrights,3,76,4.530487673,0.000644549
1988,3332,Plasterers,3,77.5,16.45709011,0.002341337
1988,3333,Roof Tilers,3,90,4.794907568,0.000682168
1988,3334,Wall and Floor Tilers,3,80.6,8.156584818,0.001160431
1988,3932,Clothing Trades Workers,3,80.9,12.21971257,0.001738489
1988,3923,Printers,3,83,23.83204187,0.003390566
1988,3511,Bakers and Pastrycooks,3,89,16.02520088,0.002279893
1988,3512,Butchers and Smallgoods Makers,3,86.4,25.67040167,0.003652108
1988,3514,Cooks,3,86.2,27.42407176,0.003901601
1988,3921,Print Finishers and Screen Printers,3,90.1,8.00291702,0.001138569
1988,3993,"Gallery, Library and Museum Technicians",2,90.7,1.567278003,0.000222975
1988,3942,Wood Machinists and Other Wood Trades Workers,3,90.7,10.93367648,0.001555526
1988,3941,Cabinetmakers,3,91.3,25.83113894,0.003674976
1988,3996,Signwriters,3,93.3,5.64945133,0.000803743
1988,3994,Jewellers,3,95,4.319583,0.000614544
1988,4114,Enrolled and Mothercraft Nurses,2,5.8,38.32127489,0.005451938
1988,4522,Outdoor Adventure Guides,4,8.3,0.237640703,3.3809E-05
1988,4521,Fitness Instructors,4,8.3,4.011934275,0.000570775
1988,4211,Child Carers,4,8.4,26.07980769,0.003710354
1988,4523,"Sports Coaches, Instructors and Officials",3,8.9,7.52670872,0.001070819
1988,4113,Diversional Therapists,3,9.1,0.923525943,0.000131389
1988,4234,Special Care Workers,4,9.3,0.502042445,7.14252E-05
1988,4413,Police,2,10.4,35.08704647,0.004991807
1988,4117,Welfare Support Workers,2,12.7,14.81925764,0.002108324
1988,4512,Driving Instructors,3,13,2.49126716,0.000354431
1988,4412,Fire and Emergency Workers,3,19,11.6441723,0.001656607
1988,4116,Massage Therapists,2,27.2,1.346607653,0.000191581
1988,4515,Personal Care Consultants,4,35.1,1.220460768,0.000173634
1988,4511,Beauty Therapists,4,35.1,6.144388605,0.000874157
1988,4111,Ambulance Officers and Paramedics,2,49.4,5.435487053,0.000773302
1988,4517,Travel Attendants,3,35.4,6.437030513,0.000915791
1988,4112,"Dental Hygienists, Technicians and Therapists",2,67,3.904755083,0.000555526
1988,4513,Funeral Workers,2,39,1.83329921,0.000260822
1988,4524,Sportspersons,3,40.3,2.227643713,0.000316925
1988,4516,Tourism and Travel Advisers,4,45.6,12.57920585,0.001789634
1988,4233,Nursing Support and Personal Care Workers,4,47.4,39.61257642,0.00563565
1988,4518,Other Personal Service Workers,4,51.8,3.184627305,0.000453074
1988,4421,Prison Officers,4,54.6,6.90108173,0.000981811
1988,4221,Education Aides,4,56,18.58326153,0.002643826
1988,4231,Aged and Disabled Carers,4,55,17.30995855,0.002462674
1988,4514,"Gallery, Museum and Tour Guides",4,61,3.921854463,0.000557959
1988,4311,Bar Attendants and Baristas,4,77,41.73768931,0.005937988
1988,4319,Other Hospitality Workers,5,66.2,2.783126898,0.000395953
1988,4312,Cafe Workers,5,92.9,11.99942772,0.001707149
1988,4313,Gaming Workers,4,76.9,3.642653385,0.000518237
1988,4314,Hotel Service Managers,3,94,6.31007402,0.000897729
1988,4315,Waiters,4,93.6,48.6264273,0.006918044
1988,4422,Security Officers and Guards,5,83.1,28.88619019,0.004109616
1988,5121,Office Managers,2,1.4,62.77557711,0.008931032
1988,5111,"Contract, Program and Project Administrators",2,34.7,13.97407834,0.001988081
1988,5995,Inspectors and Regulatory Officers,4,42.8,26.0017519,0.003699249
1988,5411,Call or Contact Centre Workers,3,52.3,13.40643842,0.001907323
1988,5122,Practice Managers,2,60.2,5.0223788,0.00071453
1988,5999,Other Miscellaneous Clerical and Administrative Workers,4,67.3,11.78430353,0.001676544
1988,5911,Purchasing and Supply Logistics Clerks,4,75.3,75.50383069,0.010741871
1988,5611,Betting Clerks,5,76.9,4.25666686,0.000605593
1988,5614,Mail Sorters,5,77.2,15.5884585,0.002217758
1988,5612,Couriers and Postal Deliverers,5,77.8,32.21515497,0.004583225
1988,5912,Transport and Despatch Clerks,4,83.5,30.3330903,0.004315465
1988,5211,Personal Assistants,3,85.1,75.11741706,0.010686896
1988,5991,Conveyancers and Legal Executives,2,86.5,3.873921635,0.00055114
1988,5992,Court and Legal Clerks,3,87.5,6.574133775,0.000935297
1988,5994,Human Resource Clerks,4,90,10.05745862,0.001430867
1988,5522,Credit and Loans Officers,4,90.1,5.448107378,0.000775098
1988,5421,Receptionists,4,91.6,115.4612374,0.01642658
1988,5523,"Insurance, Money Market and Statistical Clerks",4,92.6,27.30658991,0.003884887
1988,5212,Secretaries,3,95.4,129.9837436,0.018492685
1988,5615,Survey Interviewers,5,94,16.59802729,0.002361388
1988,5311,General Clerks,4,96,76.38306643,0.010866959
1988,5613,Filing and Registry Clerks,5,94.5,15.53963408,0.002210812
1988,5321,Keyboard Operators,4,95.1,134.2099021,0.019093937
1988,5993,Debt Collectors,4,95,11.37513664,0.001618332
1988,5412,Information Officers,4,95.9,27.78880268,0.003953491
1988,5511,Accounting Clerks,4,97.2,104.7064252,0.014896501
1988,5512,Bookkeepers,4,97.7,87.43660164,0.012439537
1988,5616,Switchboard Operators,5,96.1,14.08309164,0.00200359
1988,5513,Payroll Clerks,4,97,17.85561885,0.002540305
1988,5997,Library Assistants,4,96.3,18.46044015,0.002626352
1988,5521,Bank Workers,4,97.8,92.32054151,0.013134371
1988,5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",3,96.6,2.7897428,0.000396895
1988,5619,Other Clerical and Office Support Workers,5,96.7,42.61649671,0.006063016
1988,6215,Retail Supervisors,4,28,15.33317305,0.002181438
1988,6395,Visual Merchandisers,4,28.4,2.140864543,0.000304579
1988,6111,"Auctioneers, and Stock and Station Agents",3,34.7,2.74286776,0.000390226
1988,6391,Models and Sales Demonstrators,5,54.4,7.924154675,0.001127363
1988,6392,Retail and Wool Buyers,3,64.1,2.860768825,0.000406999
1988,6216,Service Station Attendants,5,75.5,7.560496033,0.001075626
1988,6113,Sales Representatives,4,77.9,70.33523512,0.010006539
1988,6399,Other Sales Support Workers,5,78.6,0.880626425,0.000125286
1988,6121,Real Estate Sales Agents,3,79.5,34.52045701,0.004911198
1988,6112,Insurance Agents,3,88.5,12.79747378,0.001820687
1988,6211,Sales Assistants (General),5,91.7,320.0267172,0.04552995
1988,6212,ICT Sales Assistants,5,92.3,9.990906783,0.001421398
1988,6214,Pharmacy Sales Assistants,5,92.3,20.42141585,0.002905339
1988,6213,Motor Vehicle and Vehicle Parts Salespersons,4,92.3,20.00871272,0.002846624
1988,6394,Ticket Salespersons,5,93.2,10.75800919,0.001530534
1988,6217,Street Vendors and Related Salespersons,5,94,11.9021172,0.001693305
1988,6219,Other Sales Assistants and Salespersons,5,96.2,6.347477845,0.000903051
1988,6311,Checkout Operators and Office Cashiers,5,96.9,60.2559003,0.00857256
1988,6393,Telemarketers,5,99,8.721443388,0.001240793
1988,7129,Other Stationary Plant Operators,4,61.7,26.50758523,0.003771213
1988,7114,Photographic Developers and Printers,4,67.1,10.08247963,0.001434426
1988,7117,Textile and Footwear Production Machine Operators,4,71.7,18.49492221,0.002631258
1988,7121,"Crane, Hoist and Lift Operators",4,72,12.58383712,0.001790293
1988,7122,"Drillers, Miners and Shot Firers",4,75,27.49043857,0.003911043
1988,7119,Other Machine Operators,4,75.2,10.47051857,0.001489632
1988,7313,Train and Tram Drivers,4,75.8,12.51243775,0.001780135
1988,7411,Storepersons,4,76.4,61.91248658,0.008808241
1988,7331,Truck Drivers,4,78.4,123.8246368,0.017616434
1988,7321,Delivery Drivers,4,78.7,29.89963904,0.004253798
1988,7311,Automobile Drivers,4,78.7,23.76144407,0.003380522
1988,7211,"Agricultural, Forestry and Horticultural Plant Operators",4,79,7.360326643,0.001047148
1988,7112,Industrial Spraypainters,4,79.6,8.34928352,0.001187846
1988,7113,Paper and Wood Processing Machine Operators,4,80.1,13.19696288,0.001877522
1988,7123,Engineering Production Workers,4,81.8,31.72300813,0.004513207
1988,7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",4,84.4,7.733307378,0.001100212
1988,7219,Other Mobile Plant Operators,4,82.1,5.80689133,0.000826142
1988,7312,Bus and Coach Drivers,4,82.3,26.12022413,0.003716104
1988,7115,Plastics and Rubber Production Machine Operators,4,87.9,24.45303136,0.003478914
1988,7116,Sewing Machinists,4,89,50.12046095,0.007130599
1988,7213,Forklift Drivers,4,91,27.07079597,0.003851341
1988,7212,Earthmoving Plant Operators,4,93.2,42.54963303,0.006053503
1988,8111,Car Detailers,5,37,14.54187822,0.002068862
1988,8219,Other Construction and Mining Labourers,5,56.7,9.128829908,0.001298751
1988,8321,Packers,5,60.1,50.37045355,0.007166165
1988,8112,Commercial Cleaners,5,65.5,146.9468772,0.020906017
1988,8214,Insulation and Home Improvement Installers,4,67.3,13.86546109,0.001972628
1988,8113,Domestic Cleaners,5,69,25.72261995,0.003659537
1988,8114,Housekeepers,5,70.6,10.95025189,0.001557884
1988,8115,Laundry Workers,5,73.1,19.70249429,0.002803058
1988,8311,Food and Drink Factory Workers,5,74.2,25.90390441,0.003685328
1988,8217,Structural Steel Construction Workers,4,77.7,12.72407502,0.001810244
1988,8116,Other Cleaners,5,78.5,15.615465,0.0022216
1988,8394,Timber and Wood Process Workers,5,79.4,17.07752469,0.002429606
1988,8211,Building and Plumbing Labourers,5,85.8,41.06565803,0.005842379
1988,8212,Concreters,5,90,21.46846853,0.003054302
1988,8213,Fencers,4,85.6,10.21362747,0.001453085
1988,8215,Paving and Surfacing Labourers,5,87.2,14.02880301,0.001995867
1988,8216,Railway Track Workers,4,87.2,8.706052943,0.001238603
1988,8313,"Meat, Poultry and Seafood Process Workers",5,85.2,21.72455539,0.003090735
1988,8312,"Meat Boners and Slicers, and Slaughterers",4,86.4,18.7600218,0.002668974
1988,8322,Product Assemblers,5,95.2,44.96549522,0.006397206
1988,8393,Product Quality Controllers,4,97,20.80997331,0.002960619
1988,8399,Other Factory Process Workers,5,81.8,13.03147289,0.001853977
1988,8413,Forestry and Logging Workers,4,81.8,7.297547228,0.001038216
1988,8414,Garden and Nursery Labourers,5,95,27.80059007,0.003955168
1988,8415,Livestock Farm Workers,5,61.8,40.10569746,0.005705806
1988,8419,"Other Farm, Forestry and Garden Workers",5,67.5,5.039499053,0.000716966
1988,8511,Fast Food Cooks,5,82.8,10.857047,0.001544624
1988,8512,Food Trades Assistants,5,84.3,6.819426115,0.000970194
1988,8513,Kitchenhands,5,84.3,77.80335248,0.011069022
1988,8911,Freight and Furniture Handlers,5,76.7,11.55072514,0.001643313
1988,8912,Shelf Fillers,5,64,52.49640799,0.007468623
1988,8991,Caretakers,5,66,7.67802147,0.001092346
1988,8992,Deck and Fishing Hands,4,69.4,9.657030433,0.001373898
1988,8993,Handypersons,5,65.4,22.70075102,0.003229618
1988,8994,Motor Vehicle Parts and Accessories Fitters,4,66.6,7.736513753,0.001100668
1988,8995,Printing Assistants and Table Workers,4,80.4,8.506066413,0.001210151
1988,8996,Recycling and Rubbish Collectors,5,78,4.46429561,0.000635132
1988,8997,Vending Machine Attendants,5,89.2,4.037642443,0.000574432
1988,8999,Other Miscellaneous Labourers,5,75.1,33.23033993,0.004727654
1988,2493,Teachers of English to Speakers of Other Languages,1,17.1,1.989950138,0.000283109
1988,2524,Occupational Therapists,1,0.8,4.4660606,0.000635383
1988,2525,Physiotherapists,1,2.1,6.385015258,0.000908391
1988,2526,Podiatrists,1,0.8,0.86595026,0.000123198
1988,4232,Dental Assistants,4,60.1,10.95238201,0.001558187
1989,1111,Chief Executives and Managing Directors,1,14,24.05255037,0.003266842
1989,1112,General Managers,1,14,21.12766069,0.00286958
1989,1211,Aquaculture Farmers,1,31.2,1.752025185,0.000237962
1989,1212,Crop Farmers,1,51,46.70484889,0.0063435
1989,1213,Livestock Farmers,1,37.4,91.58627995,0.012439342
1989,1214,Mixed Crop and Livestock Farmers,1,59,103.4616231,0.014052263
1989,1311,"Advertising, Public Relations and Sales Managers",1,1.5,51.06508607,0.006935712
1989,1321,Corporate Services Managers,1,38.9,2.229785913,0.000302852
1989,1322,Finance Managers,1,6.9,21.85954716,0.002968986
1989,1323,Human Resource Managers,1,11.3,10.29541952,0.001398334
1989,1324,Policy and Planning Managers,1,25,17.82187736,0.002420586
1989,1325,Research and Development Managers,1,1.7,3.515011455,0.000477412
1989,1331,Construction Managers,1,9.5,53.52272134,0.007269511
1989,1332,Engineering Managers,1,25,3.026762273,0.000411098
1989,1333,"Importers, Exporters and Wholesalers",1,23.9,12.38069607,0.001681559
1989,1334,Manufacturers,1,3,27.22730013,0.00369804
1989,1335,Production Managers,1,5.5,33.65085231,0.004570493
1989,1336,"Supply, Distribution and Procurement Managers",1,59,10.29252105,0.001397941
1989,1341,Child Care Centre Managers,1,1.5,4.1910713,0.000569236
1989,1342,Health and Welfare Services Managers,1,5,3.25444698,0.000442022
1989,1343,School Principals,1,0.7,8.7930275,0.001194278
1989,1344,Other Education Managers,1,0.7,3.941142655,0.00053529
1989,1351,ICT Managers,1,3.5,8.667847813,0.001177276
1989,1391,Commissioned Officers (Management),1,25,0.789853193,0.000107279
1989,1399,Other Specialist Managers,1,13.1,10.98386183,0.001491839
1989,1411,Cafe and Restaurant Managers,2,8.3,30.02142686,0.004077541
1989,1412,Caravan Park and Camping Ground Managers,2,25,3.353382178,0.00045546
1989,1413,Hotel and Motel Managers,2,0.4,20.84692456,0.002831451
1989,1414,Licensed Club Managers,2,25,5.145327013,0.000698844
1989,1419,Other Accommodation and Hospitality Managers,2,26.1,4.343764313,0.000589975
1989,1421,Retail Managers,2,16.1,202.1602068,0.027457606
1989,1491,"Amusement, Fitness and Sports Centre Managers",2,23.7,6.108407313,0.00082965
1989,1492,Call or Contact Centre and Customer Service Managers,2,49.9,12.00756076,0.001630879
1989,1493,Conference and Event Organisers,2,4.9,3.47373599,0.000471806
1989,1494,Transport Services Managers,2,59,14.23713235,0.001933702
1989,1499,"Other Hospitality, Retail and Service Managers",2,26.4,59.99492301,0.008148572
1989,2111,"Actors, Dancers and Other Entertainers",1,21.4,3.84650005,0.000522436
1989,2112,Music Professionals,1,5.2,7.699409703,0.001045742
1989,2113,Photographers,1,2.1,4.978538993,0.00067619
1989,2114,Visual Arts and Crafts Professionals,1,16.5,10.23989971,0.001390794
1989,2121,"Artistic Directors, and Media Producers and Presenters",1,10,5.557574195,0.000754835
1989,2122,"Authors, and Book and Script Editors",1,38.5,2.958814118,0.000401869
1989,2123,"Film, Television, Radio and Stage Directors",1,8.5,4.484775448,0.000609127
1989,2124,Journalists and Other Writers,1,17,15.77894588,0.002143113
1989,2211,Accountants,1,94.3,86.47367171,0.011744942
1989,2212,"Auditors, Company Secretaries and Corporate Treasurers",1,76.3,8.105560215,0.001100905
1989,2221,Financial Brokers,2,36,9.114978175,0.001238006
1989,2222,Financial Dealers,1,20.5,10.57943451,0.00143691
1989,2223,Financial Investment Advisers and Managers,1,43.8,13.53711001,0.001838624
1989,2231,Human Resource Professionals,1,24.8,18.80426908,0.002554015
1989,2232,ICT Trainers,1,1.4,3.043113695,0.000413319
1989,2233,Training and Development Professionals,1,1.4,7.32991798,0.000995557
1989,2241,"Actuaries, Mathematicians and Statisticians",1,11.9,2.231985173,0.000303151
1989,2242,"Archivists, Curators and Records Managers",1,56,1.173755178,0.000159421
1989,2243,Economists,1,43,2.055001633,0.000279112
1989,2244,Intelligence and Policy Analysts,1,23,3.954802448,0.000537145
1989,2245,Land Economists and Valuers,1,67.6,4.091097685,0.000555657
1989,2246,Librarians,1,59.5,11.48206028,0.001559505
1989,2247,Management and Organisation Analysts,1,10.9,13.91609497,0.001890098
