Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total,Share of workforce (%),Sub-Major Group,Major Group
2007,5111,"Contract, Program and Project Administrators",2,34.7,70939,0.71,Office Managers and Program Administrators,Clerical and Administrative Workers
2008,5111,"Contract, Program and Project Administrators",2,34.7,84100,0.82,Office Managers and Program Administrators,Clerical and Administrative Workers
2009,5111,"Contract, Program and Project Administrators",2,34.7,92470,0.91,Office Managers and Program Administrators,Clerical and Administrative Workers
2010,5111,"Contract, Program and Project Administrators",2,34.7,102241,0.98,Office Managers and Program Administrators,Clerical and Administrative Workers
2011,5111,"Contract, Program and Project Administrators",2,34.7,95062,0.9,Office Managers and Program Administrators,Clerical and Administrative Workers
2012,5111,"Contract, Program and Project Administrators",2,34.7,101632,0.95,Office Managers and Program Administrators,Clerical and Administrative Workers
2013,5111,"Contract, Program and Project Administrators",2,34.7,122641,1.14,Office Managers and Program Administrators,Clerical and Administrative Workers
2014,5111,"Contract, Program and Project Administrators",2,34.7,112783,1.05,Office Managers and Program Administrators,Clerical and Administrative Workers
2015,5111,"Contract, Program and Project Administrators",2,34.7,126088,1.15,Office Managers and Program Administrators,Clerical and Administrative Workers
2016,5111,"Contract, Program and Project Administrators",2,34.7,118676,1.07,Office Managers and Program Administrators,Clerical and Administrative Workers
2017,5111,"Contract, Program and Project Administrators",2,34.7,116091,1.01,Office Managers and Program Administrators,Clerical and Administrative Workers
2018,5111,"Contract, Program and Project Administrators",2,34.7,114050,0.96,Office Managers and Program Administrators,Clerical and Administrative Workers
1988,5121,Office Managers,2,1.4,62776,0.89,Office Managers and Program Administrators,Clerical and Administrative Workers
1989,5121,Office Managers,2,1.4,66523,0.9,Office Managers and Program Administrators,Clerical and Administrative Workers
1990,5121,Office Managers,2,1.4,67635,0.9,Office Managers and Program Administrators,Clerical and Administrative Workers
1991,5121,Office Managers,2,1.4,69014,0.94,Office Managers and Program Administrators,Clerical and Administrative Workers
1992,5121,Office Managers,2,1.4,66561,0.91,Office Managers and Program Administrators,Clerical and Administrative Workers
1993,5121,Office Managers,2,1.4,67799,0.93,Office Managers and Program Administrators,Clerical and Administrative Workers
1994,5121,Office Managers,2,1.4,70113,0.93,Office Managers and Program Administrators,Clerical and Administrative Workers
1995,5121,Office Managers,2,1.4,74176,0.95,Office Managers and Program Administrators,Clerical and Administrative Workers
1996,5121,Office Managers,2,1.4,66399,0.84,Office Managers and Program Administrators,Clerical and Administrative Workers
1997,5121,Office Managers,2,1.4,63581,0.79,Office Managers and Program Administrators,Clerical and Administrative Workers
1998,5121,Office Managers,2,1.4,63591,0.78,Office Managers and Program Administrators,Clerical and Administrative Workers
1999,5121,Office Managers,2,1.4,68105,0.82,Office Managers and Program Administrators,Clerical and Administrative Workers
2000,5121,Office Managers,2,1.4,77526,0.91,Office Managers and Program Administrators,Clerical and Administrative Workers
2001,5121,Office Managers,2,1.4,82779,0.96,Office Managers and Program Administrators,Clerical and Administrative Workers
2002,5121,Office Managers,2,1.4,86929,0.99,Office Managers and Program Administrators,Clerical and Administrative Workers
2003,5121,Office Managers,2,1.4,101507,1.13,Office Managers and Program Administrators,Clerical and Administrative Workers
2004,5121,Office Managers,2,1.4,114324,1.26,Office Managers and Program Administrators,Clerical and Administrative Workers
2005,5121,Office Managers,2,1.4,141098,1.51,Office Managers and Program Administrators,Clerical and Administrative Workers
2006,5121,Office Managers,2,1.4,141199,1.47,Office Managers and Program Administrators,Clerical and Administrative Workers
2007,5121,Office Managers,2,1.4,159119,1.61,Office Managers and Program Administrators,Clerical and Administrative Workers
2008,5121,Office Managers,2,1.4,133579,1.31,Office Managers and Program Administrators,Clerical and Administrative Workers
2009,5121,Office Managers,2,1.4,130029,1.28,Office Managers and Program Administrators,Clerical and Administrative Workers
2010,5121,Office Managers,2,1.4,128918,1.24,Office Managers and Program Administrators,Clerical and Administrative Workers
2011,5121,Office Managers,2,1.4,139123,1.32,Office Managers and Program Administrators,Clerical and Administrative Workers
2012,5121,Office Managers,2,1.4,144868,1.36,Office Managers and Program Administrators,Clerical and Administrative Workers
2013,5121,Office Managers,2,1.4,127293,1.19,Office Managers and Program Administrators,Clerical and Administrative Workers
2014,5121,Office Managers,2,1.4,124495,1.16,Office Managers and Program Administrators,Clerical and Administrative Workers
2015,5121,Office Managers,2,1.4,131133,1.2,Office Managers and Program Administrators,Clerical and Administrative Workers
2016,5121,Office Managers,2,1.4,141852,1.28,Office Managers and Program Administrators,Clerical and Administrative Workers
2017,5121,Office Managers,2,1.4,124582,1.09,Office Managers and Program Administrators,Clerical and Administrative Workers
2018,5121,Office Managers,2,1.4,138949,1.17,Office Managers and Program Administrators,Clerical and Administrative Workers
1988,5211,Personal Assistants,3,85.1,75117,1.06,Personal Assistants and Secretaries,Clerical and Administrative Workers
1989,5211,Personal Assistants,3,85.1,78148,1.06,Personal Assistants and Secretaries,Clerical and Administrative Workers
1990,5211,Personal Assistants,3,85.1,80307,1.07,Personal Assistants and Secretaries,Clerical and Administrative Workers
1991,5211,Personal Assistants,3,85.1,77182,1.05,Personal Assistants and Secretaries,Clerical and Administrative Workers
1992,5211,Personal Assistants,3,85.1,76465,1.05,Personal Assistants and Secretaries,Clerical and Administrative Workers
1993,5211,Personal Assistants,3,85.1,71620,0.98,Personal Assistants and Secretaries,Clerical and Administrative Workers
1994,5211,Personal Assistants,3,85.1,74481,0.99,Personal Assistants and Secretaries,Clerical and Administrative Workers
1995,5211,Personal Assistants,3,85.1,75408,0.96,Personal Assistants and Secretaries,Clerical and Administrative Workers
1996,5211,Personal Assistants,3,85.1,80820,1.02,Personal Assistants and Secretaries,Clerical and Administrative Workers
1997,5211,Personal Assistants,3,85.1,80983,1.01,Personal Assistants and Secretaries,Clerical and Administrative Workers
1998,5211,Personal Assistants,3,85.1,80081,0.99,Personal Assistants and Secretaries,Clerical and Administrative Workers
1999,5211,Personal Assistants,3,85.1,74223,0.9,Personal Assistants and Secretaries,Clerical and Administrative Workers
2000,5211,Personal Assistants,3,85.1,75232,0.88,Personal Assistants and Secretaries,Clerical and Administrative Workers
2001,5211,Personal Assistants,3,85.1,72508,0.84,Personal Assistants and Secretaries,Clerical and Administrative Workers
2002,5211,Personal Assistants,3,85.1,71787,0.82,Personal Assistants and Secretaries,Clerical and Administrative Workers
2003,5211,Personal Assistants,3,85.1,66095,0.73,Personal Assistants and Secretaries,Clerical and Administrative Workers
2004,5211,Personal Assistants,3,85.1,61469,0.68,Personal Assistants and Secretaries,Clerical and Administrative Workers
2005,5211,Personal Assistants,3,85.1,64906,0.69,Personal Assistants and Secretaries,Clerical and Administrative Workers
2006,5211,Personal Assistants,3,85.1,59822,0.62,Personal Assistants and Secretaries,Clerical and Administrative Workers
2007,5211,Personal Assistants,3,85.1,59961,0.6,Personal Assistants and Secretaries,Clerical and Administrative Workers
2008,5211,Personal Assistants,3,85.1,55131,0.54,Personal Assistants and Secretaries,Clerical and Administrative Workers
2009,5211,Personal Assistants,3,85.1,49880,0.49,Personal Assistants and Secretaries,Clerical and Administrative Workers
2010,5211,Personal Assistants,3,85.1,56270,0.54,Personal Assistants and Secretaries,Clerical and Administrative Workers
2011,5211,Personal Assistants,3,85.1,59526,0.56,Personal Assistants and Secretaries,Clerical and Administrative Workers
2012,5211,Personal Assistants,3,85.1,53771,0.5,Personal Assistants and Secretaries,Clerical and Administrative Workers
2013,5211,Personal Assistants,3,85.1,54608,0.51,Personal Assistants and Secretaries,Clerical and Administrative Workers
2014,5211,Personal Assistants,3,85.1,62462,0.58,Personal Assistants and Secretaries,Clerical and Administrative Workers
2015,5211,Personal Assistants,3,85.1,51766,0.47,Personal Assistants and Secretaries,Clerical and Administrative Workers
2016,5211,Personal Assistants,3,85.1,47249,0.42,Personal Assistants and Secretaries,Clerical and Administrative Workers
2017,5211,Personal Assistants,3,85.1,48839,0.42,Personal Assistants and Secretaries,Clerical and Administrative Workers
2018,5211,Personal Assistants,3,85.1,48856,0.41,Personal Assistants and Secretaries,Clerical and Administrative Workers
1988,5212,Secretaries,3,95.4,129984,1.84,Personal Assistants and Secretaries,Clerical and Administrative Workers
1989,5212,Secretaries,3,95.4,135228,1.83,Personal Assistants and Secretaries,Clerical and Administrative Workers
1990,5212,Secretaries,3,95.4,138964,1.85,Personal Assistants and Secretaries,Clerical and Administrative Workers
1991,5212,Secretaries,3,95.4,133556,1.83,Personal Assistants and Secretaries,Clerical and Administrative Workers
1992,5212,Secretaries,3,95.4,132315,1.82,Personal Assistants and Secretaries,Clerical and Administrative Workers
1993,5212,Secretaries,3,95.4,123932,1.7,Personal Assistants and Secretaries,Clerical and Administrative Workers
1994,5212,Secretaries,3,95.4,128883,1.71,Personal Assistants and Secretaries,Clerical and Administrative Workers
1995,5212,Secretaries,3,95.4,130486,1.67,Personal Assistants and Secretaries,Clerical and Administrative Workers
1996,5212,Secretaries,3,95.4,139852,1.77,Personal Assistants and Secretaries,Clerical and Administrative Workers
1997,5212,Secretaries,3,95.4,140133,1.76,Personal Assistants and Secretaries,Clerical and Administrative Workers
1998,5212,Secretaries,3,95.4,138574,1.71,Personal Assistants and Secretaries,Clerical and Administrative Workers
1999,5212,Secretaries,3,95.4,128436,1.55,Personal Assistants and Secretaries,Clerical and Administrative Workers
2000,5212,Secretaries,3,95.4,130183,1.53,Personal Assistants and Secretaries,Clerical and Administrative Workers
2001,5212,Secretaries,3,95.4,125469,1.46,Personal Assistants and Secretaries,Clerical and Administrative Workers
2002,5212,Secretaries,3,95.4,124222,1.42,Personal Assistants and Secretaries,Clerical and Administrative Workers
2003,5212,Secretaries,3,95.4,114371,1.27,Personal Assistants and Secretaries,Clerical and Administrative Workers
2004,5212,Secretaries,3,95.4,106367,1.18,Personal Assistants and Secretaries,Clerical and Administrative Workers
2005,5212,Secretaries,3,95.4,112315,1.2,Personal Assistants and Secretaries,Clerical and Administrative Workers
2006,5212,Secretaries,3,95.4,108230,1.13,Personal Assistants and Secretaries,Clerical and Administrative Workers
2007,5212,Secretaries,3,95.4,109796,1.11,Personal Assistants and Secretaries,Clerical and Administrative Workers
2008,5212,Secretaries,3,95.4,105878,1.04,Personal Assistants and Secretaries,Clerical and Administrative Workers
2009,5212,Secretaries,3,95.4,87282,0.85,Personal Assistants and Secretaries,Clerical and Administrative Workers
2010,5212,Secretaries,3,95.4,76483,0.74,Personal Assistants and Secretaries,Clerical and Administrative Workers
2011,5212,Secretaries,3,95.4,73896,0.7,Personal Assistants and Secretaries,Clerical and Administrative Workers
2012,5212,Secretaries,3,95.4,72271,0.67,Personal Assistants and Secretaries,Clerical and Administrative Workers
2013,5212,Secretaries,3,95.4,64120,0.6,Personal Assistants and Secretaries,Clerical and Administrative Workers
2014,5212,Secretaries,3,95.4,54682,0.51,Personal Assistants and Secretaries,Clerical and Administrative Workers
2015,5212,Secretaries,3,95.4,49457,0.45,Personal Assistants and Secretaries,Clerical and Administrative Workers
2016,5212,Secretaries,3,95.4,48474,0.43,Personal Assistants and Secretaries,Clerical and Administrative Workers
2017,5212,Secretaries,3,95.4,47815,0.41,Personal Assistants and Secretaries,Clerical and Administrative Workers
2018,5212,Secretaries,3,95.4,41708,0.35,Personal Assistants and Secretaries,Clerical and Administrative Workers
1988,5311,General Clerks,4,96,76383,1.08,General Clerical Workers,Clerical and Administrative Workers
1989,5311,General Clerks,4,96,78829,1.07,General Clerical Workers,Clerical and Administrative Workers
1990,5311,General Clerks,4,96,79975,1.06,General Clerical Workers,Clerical and Administrative Workers
1991,5311,General Clerks,4,96,79017,1.08,General Clerical Workers,Clerical and Administrative Workers
1992,5311,General Clerks,4,96,76272,1.05,General Clerical Workers,Clerical and Administrative Workers
1993,5311,General Clerks,4,96,76160,1.04,General Clerical Workers,Clerical and Administrative Workers
1994,5311,General Clerks,4,96,79005,1.05,General Clerical Workers,Clerical and Administrative Workers
1995,5311,General Clerks,4,96,80964,1.03,General Clerical Workers,Clerical and Administrative Workers
1996,5311,General Clerks,4,96,76883,0.97,General Clerical Workers,Clerical and Administrative Workers
1997,5311,General Clerks,4,96,71293,0.89,General Clerical Workers,Clerical and Administrative Workers
1998,5311,General Clerks,4,96,71188,0.88,General Clerical Workers,Clerical and Administrative Workers
1999,5311,General Clerks,4,96,67563,0.81,General Clerical Workers,Clerical and Administrative Workers
2000,5311,General Clerks,4,96,88647,1.04,General Clerical Workers,Clerical and Administrative Workers
2001,5311,General Clerks,4,96,103582,1.2,General Clerical Workers,Clerical and Administrative Workers
2002,5311,General Clerks,4,96,119592,1.36,General Clerical Workers,Clerical and Administrative Workers
2003,5311,General Clerks,4,96,136285,1.52,General Clerical Workers,Clerical and Administrative Workers
2004,5311,General Clerks,4,96,171048,1.89,General Clerical Workers,Clerical and Administrative Workers
2005,5311,General Clerks,4,96,138971,1.49,General Clerical Workers,Clerical and Administrative Workers
2006,5311,General Clerks,4,96,122527,1.28,General Clerical Workers,Clerical and Administrative Workers
2007,5311,General Clerks,4,96,133650,1.35,General Clerical Workers,Clerical and Administrative Workers
2008,5311,General Clerks,4,96,136060,1.34,General Clerical Workers,Clerical and Administrative Workers
2009,5311,General Clerks,4,96,153099,1.5,General Clerical Workers,Clerical and Administrative Workers
2010,5311,General Clerks,4,96,180901,1.75,General Clerical Workers,Clerical and Administrative Workers
2011,5311,General Clerks,4,96,184582,1.75,General Clerical Workers,Clerical and Administrative Workers
2012,5311,General Clerks,4,96,212456,1.99,General Clerical Workers,Clerical and Administrative Workers
2013,5311,General Clerks,4,96,212341,1.98,General Clerical Workers,Clerical and Administrative Workers
2014,5311,General Clerks,4,96,243613,2.27,General Clerical Workers,Clerical and Administrative Workers
2015,5311,General Clerks,4,96,233494,2.14,General Clerical Workers,Clerical and Administrative Workers
2016,5311,General Clerks,4,96,244341,2.21,General Clerical Workers,Clerical and Administrative Workers
2017,5311,General Clerks,4,96,227625,1.99,General Clerical Workers,Clerical and Administrative Workers
2018,5311,General Clerks,4,96,251117,2.13,General Clerical Workers,Clerical and Administrative Workers
1988,5321,Keyboard Operators,4,95.1,134210,1.9,General Clerical Workers,Clerical and Administrative Workers
1989,5321,Keyboard Operators,4,95.1,137069,1.86,General Clerical Workers,Clerical and Administrative Workers
1990,5321,Keyboard Operators,4,95.1,126550,1.69,General Clerical Workers,Clerical and Administrative Workers
1991,5321,Keyboard Operators,4,95.1,125039,1.71,General Clerical Workers,Clerical and Administrative Workers
1992,5321,Keyboard Operators,4,95.1,117116,1.61,General Clerical Workers,Clerical and Administrative Workers
1993,5321,Keyboard Operators,4,95.1,118297,1.62,General Clerical Workers,Clerical and Administrative Workers
1994,5321,Keyboard Operators,4,95.1,125610,1.67,General Clerical Workers,Clerical and Administrative Workers
1995,5321,Keyboard Operators,4,95.1,121830,1.56,General Clerical Workers,Clerical and Administrative Workers
1996,5321,Keyboard Operators,4,95.1,120612,1.52,General Clerical Workers,Clerical and Administrative Workers
1997,5321,Keyboard Operators,4,95.1,108958,1.37,General Clerical Workers,Clerical and Administrative Workers
1998,5321,Keyboard Operators,4,95.1,125902,1.55,General Clerical Workers,Clerical and Administrative Workers
1999,5321,Keyboard Operators,4,95.1,130466,1.58,General Clerical Workers,Clerical and Administrative Workers
2000,5321,Keyboard Operators,4,95.1,135809,1.6,General Clerical Workers,Clerical and Administrative Workers
2001,5321,Keyboard Operators,4,95.1,114809,1.33,General Clerical Workers,Clerical and Administrative Workers
2002,5321,Keyboard Operators,4,95.1,101634,1.16,General Clerical Workers,Clerical and Administrative Workers
2003,5321,Keyboard Operators,4,95.1,98754,1.1,General Clerical Workers,Clerical and Administrative Workers
2004,5321,Keyboard Operators,4,95.1,81212,0.9,General Clerical Workers,Clerical and Administrative Workers
2005,5321,Keyboard Operators,4,95.1,80706,0.86,General Clerical Workers,Clerical and Administrative Workers
2006,5321,Keyboard Operators,4,95.1,96370,1,General Clerical Workers,Clerical and Administrative Workers
2007,5321,Keyboard Operators,4,95.1,91008,0.92,General Clerical Workers,Clerical and Administrative Workers
2008,5321,Keyboard Operators,4,95.1,103832,1.02,General Clerical Workers,Clerical and Administrative Workers
2009,5321,Keyboard Operators,4,95.1,78213,0.77,General Clerical Workers,Clerical and Administrative Workers
2010,5321,Keyboard Operators,4,95.1,74840,0.72,General Clerical Workers,Clerical and Administrative Workers
2011,5321,Keyboard Operators,4,95.1,76118,0.72,General Clerical Workers,Clerical and Administrative Workers
2012,5321,Keyboard Operators,4,95.1,59419,0.55,General Clerical Workers,Clerical and Administrative Workers
2013,5321,Keyboard Operators,4,95.1,63455,0.59,General Clerical Workers,Clerical and Administrative Workers
2014,5321,Keyboard Operators,4,95.1,52886,0.49,General Clerical Workers,Clerical and Administrative Workers
2015,5321,Keyboard Operators,4,95.1,51518,0.47,General Clerical Workers,Clerical and Administrative Workers
2016,5321,Keyboard Operators,4,95.1,59107,0.53,General Clerical Workers,Clerical and Administrative Workers
2017,5321,Keyboard Operators,4,95.1,66067,0.57,General Clerical Workers,Clerical and Administrative Workers
2018,5321,Keyboard Operators,4,95.1,65560,0.55,General Clerical Workers,Clerical and Administrative Workers
1988,5412,Information Officers,4,95.9,27789,0.39,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1989,5412,Information Officers,4,95.9,29020,0.39,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1990,5412,Information Officers,4,95.9,29935,0.4,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1991,5412,Information Officers,4,95.9,30684,0.42,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1992,5412,Information Officers,4,95.9,30415,0.41,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1993,5412,Information Officers,4,95.9,34496,0.47,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
1994,5412,Information Officers,4,95.9,35330,0.47,Inquiry Clerks and Receptionists,Clerical and Administrative Workers
